Gene stable ID,Gene name,Zebrafish gene stable ID,Zebrafish gene name,Zebrafish homology type,"Zebrafish orthology confidence [0 low, 1 high]",Zebrafish Gene-order conservation score
ENSG00000308964,,,,,,
ENSG00000278457,5S_rRNA,,,,,
ENSG00000271254,,,,,,
ENSG00000276197,,,,,,
ENSG00000278573,,,,,,
ENSG00000278704,,,,,,
ENSG00000309338,,,,,,
ENSG00000309357,,,,,,
ENSG00000297432,,,,,,
ENSG00000297449,,,,,,
ENSG00000299314,,,,,,
ENSG00000295063,,,,,,
ENSG00000303867,,,,,,
ENSG00000309229,,,,,,
ENSG00000278294,5_8S_rRNA,,,,,
ENSG00000274917,RNA5-8SN5,,,,,
ENSG00000307034,,,,,,
ENSG00000310277,,,,,,
ENSG00000273730,5_8S_rRNA,,,,,
ENSG00000273937,,,,,,
ENSG00000277196,,ENSDARG00000086512,prodhb,ortholog_many2many,0,0
ENSG00000277196,,ENSDARG00000086746,prodha,ortholog_many2many,1,0
ENSG00000308580,,,,,,
ENSG00000296546,,,,,,
ENSG00000303173,,,,,,
ENSG00000296902,,,,,,
ENSG00000297619,,,,,,
ENSG00000296713,,,,,,
ENSG00000305511,,,,,,
ENSG00000305525,,,,,,
ENSG00000278625,U6,,,,,
ENSG00000294644,,,,,,
ENSG00000306721,,,,,,
ENSG00000300051,,,,,,
ENSG00000303750,,,,,,
ENSG00000278817,,ENSDARG00000005500,dgcr6,ortholog_one2many,1,0
ENSG00000276017,,,,,,
ENSG00000297072,,,,,,
ENSG00000300074,,,,,,
ENSG00000300093,,,,,,
ENSG00000301131,,,,,,
ENSG00000300846,,,,,,
ENSG00000307470,,,,,,
ENSG00000303733,,,,,,
ENSG00000305236,,,,,,
ENSG00000309233,,,,,,
ENSG00000303902,,,,,,
ENSG00000302039,,,,,,
ENSG00000297844,,,,,,
ENSG00000277630,,,,,,
ENSG00000295160,,,,,,
ENSG00000300815,,,,,,
ENSG00000306528,,,,,,
ENSG00000304057,,,,,,
ENSG00000296348,,,,,,
ENSG00000277428,Y_RNA,,,,,
ENSG00000307824,,,,,,
ENSG00000276256,,,,,,
ENSG00000295668,,,,,,
ENSG00000304745,,,,,,
ENSG00000303853,,,,,,
ENSG00000303221,,,,,,
ENSG00000306744,,,,,,
ENSG00000306767,,,,,,
ENSG00000308844,,,,,,
ENSG00000278793,U6,,,,,
ENSG00000298861,,,,,,
ENSG00000308643,,,,,,
ENSG00000303875,,,,,,
ENSG00000303892,,,,,,
ENSG00000303912,,,,,,
ENSG00000308185,,,,,,
ENSG00000277374,U1,,,,,
ENSG00000303573,,,,,,
ENSG00000309296,,,,,,
ENSG00000307722,,,,,,
ENSG00000274202,U2,,,,,
ENSG00000310401,,,,,,
ENSG00000309793,,,,,,
ENSG00000304792,,,,,,
ENSG00000304816,,,,,,
ENSG00000309831,,,,,,
ENSG00000309258,,,,,,
ENSG00000304845,,,,,,
ENSG00000275987,U1,,,,,
ENSG00000268674,,,,,,
ENSG00000277475,,,,,,
ENSG00000275405,U1,,,,,
ENSG00000298139,,,,,,
ENSG00000301573,,,,,,
ENSG00000301587,,,,,,
ENSG00000298153,,,,,,
ENSG00000298169,,,,,,
ENSG00000298181,,,,,,
ENSG00000273748,,ENSDARG00000056504,frg1,ortholog_one2many,1,0
ENSG00000296581,,,,,,
ENSG00000297972,,,,,,
ENSG00000293919,,,,,,
ENSG00000296598,,,,,,
ENSG00000300519,,,,,,
ENSG00000278633,,,,,,
ENSG00000278066,,,,,,
ENSG00000296618,,,,,,
ENSG00000276711,U2,,,,,
ENSG00000295378,,,,,,
ENSG00000302961,,,,,,
ENSG00000304422,,,,,,
ENSG00000275661,,,,,,
ENSG00000276351,,,,,,
ENSG00000276345,,ENSDARG00000045696,mrpl23,ortholog_one2many,0,0
ENSG00000273532,,,,,,
ENSG00000294171,,,,,,
ENSG00000297558,,,,,,
ENSG00000298095,,,,,,
ENSG00000296634,,,,,,
ENSG00000303588,,,,,,
ENSG00000293939,,,,,,
ENSG00000294191,,,,,,
ENSG00000308966,,,,,,
ENSG00000293969,,,,,,
ENSG00000309079,,,,,,
ENSG00000299852,,,,,,
ENSG00000299870,,,,,,
ENSG00000299885,,,,,,
ENSG00000277400,,,,,,
ENSG00000274847,MAFIP,ENSDARG00000028899,tekt4,ortholog_one2many,0,0
ENSG00000307061,,,,,,
ENSG00000298772,,,,,,
ENSG00000276312,,,,,,
ENSG00000276700,RNA5-8SN4,,,,,
ENSG00000275757,5_8S_rRNA,,,,,
ENSG00000273739,,,,,,
ENSG00000298142,,,,,,
ENSG00000301406,,,,,,
ENSG00000307206,,,,,,
ENSG00000307077,,,,,,
ENSG00000310376,,,,,,
ENSG00000298793,,,,,,
ENSG00000310392,,,,,,
ENSG00000306938,,,,,,
ENSG00000310347,,,,,,
ENSG00000276932,Y_RNA,,,,,
ENSG00000302801,,,,,,
ENSG00000307088,,,,,,
ENSG00000306402,,,,,,
ENSG00000293753,,,,,,
ENSG00000299010,,,,,,
ENSG00000275063,,ENSDARG00000096259,ighv4-1,ortholog_many2many,0,0
ENSG00000275063,,ENSDARG00000096340,ighv8-2,ortholog_many2many,0,0
ENSG00000275063,,ENSDARG00000096255,ighv8-1,ortholog_many2many,0,0
ENSG00000277856,,,,,,
ENSG00000298751,,,,,,
ENSG00000298769,,,,,,
ENSG00000301091,,,,,,
ENSG00000303154,,,,,,
ENSG00000278384,,,,,,
ENSG00000301761,,,,,,
ENSG00000307122,,,,,,
ENSG00000307143,,,,,,
ENSG00000307166,,,,,,
ENSG00000274175,,,,,,
ENSG00000273554,,ENSDARG00000043646,slc6a8,ortholog_one2many,1,0
ENSG00000275869,,,,,,
ENSG00000278510,,,,,,
ENSG00000273843,,,,,,
ENSG00000277836,,,,,,
ENSG00000294926,,,,,,
ENSG00000295260,,,,,,
ENSG00000295285,,,,,,
ENSG00000295455,,,,,,
ENSG00000295648,,,,,,
ENSG00000296644,,,,,,
ENSG00000301787,,,,,,
ENSG00000296798,,,,,,
ENSG00000297394,,,,,,
ENSG00000297936,,,,,,
ENSG00000300662,,,,,,
ENSG00000301410,,,,,,
ENSG00000303548,,,,,,
ENSG00000303746,,,,,,
ENSG00000304032,,,,,,
ENSG00000304964,,,,,,
ENSG00000305027,,,,,,
ENSG00000305713,,,,,,
ENSG00000306124,,,,,,
ENSG00000307249,,,,,,
ENSG00000308567,,,,,,
ENSG00000306474,,,,,,
ENSG00000309335,,,,,,
ENSG00000310156,,,,,,
ENSG00000296732,,,,,,
ENSG00000306526,,,,,,
ENSG00000296756,,,,,,
ENSG00000296775,,,,,,
ENSG00000298469,,,,,,
ENSG00000306901,,,,,,
ENSG00000277890,U6,,,,,
ENSG00000275249,,,,,,
ENSG00000274792,,,,,,
ENSG00000276872,,,,,,
ENSG00000276760,,,,,,
ENSG00000277927,U6,,,,,
ENSG00000294368,,,,,,
ENSG00000294897,,,,,,
ENSG00000297236,,,,,,
ENSG00000307608,,,,,,
ENSG00000309787,,,,,,
ENSG00000309802,,,,,,
ENSG00000278673,,,,,,
ENSG00000294916,,,,,,
ENSG00000291360,RPL23AP45,,,,,
ENSG00000291361,,,,,,
ENSG00000291362,C8orf33,,,,,
ENSG00000291364,LINC02688,,,,,
ENSG00000291363,MUC5AC,,,,,
ENSG00000293532,MUC2,,,,,
ENSG00000288360,ZSWIM4,,,,,
ENSG00000288519,,,,,,
ENSG00000288240,RN7SL619P,,,,,
ENSG00000288498,MIR23AHG,,,,,
ENSG00000288126,MIR24-2,,,,,
ENSG00000288183,MIR27A,,,,,
ENSG00000288462,MIR23A,,,,,
ENSG00000288505,NANOS3,,,,,
ENSG00000288397,MIR181C,,,,,
ENSG00000288329,MIR181D,,,,,
ENSG00000288152,BRME1,,,,,
ENSG00000288293,CC2D1A,,,,,
ENSG00000288195,PODNL1,,,,,
ENSG00000288453,DCAF15,,,,,
ENSG00000288283,RFX1,,,,,
ENSG00000288351,,,,,,
ENSG00000288474,RLN3,,,,,
ENSG00000288441,,,,,,
ENSG00000288185,IL27RA,,,,,
ENSG00000288318,PALM3,,,,,
ENSG00000288278,EEF1DP1,,,,,
ENSG00000288191,MISP3,,,,,
ENSG00000288366,MIR1199,,,,,
ENSG00000288239,C19orf67,,,,,
ENSG00000288516,PRKACA,,,,,
ENSG00000288496,,,,,,
ENSG00000288210,ASF1B,,,,,
ENSG00000288348,ADGRL1-AS1,,,,,
ENSG00000288324,ADGRL1,,,,,
ENSG00000288289,RN7SL231P,,,,,
ENSG00000288425,,,,,,
ENSG00000288433,,,,,,
ENSG00000288488,SAMD1,,,,,
ENSG00000291365,CNTNAP3C,,,,,
ENSG00000291366,RN7SL462P,,,,,
ENSG00000280864,,,,,,
ENSG00000281822,RNU1-62P,,,,,
ENSG00000280505,MTCO3P47,,,,,
ENSG00000280775,RNA5SP136,,,,,
ENSG00000281766,RYBP,,,,,
ENSG00000288175,SYT15B,,,,,
ENSG00000288244,,,,,,
ENSG00000288157,NPY4R2,,,,,
ENSG00000288304,,,,,,
ENSG00000288481,FAM25C,,,,,
ENSG00000288424,AGAP12P,,,,,
ENSG00000290627,AGAP12P,,,,,
ENSG00000288201,RNA5SP315,,,,,
ENSG00000288196,BMS1P7,,,,,
ENSG00000288457,,,,,,
ENSG00000288522,,,,,,
ENSG00000288204,HMX1,,,,,
ENSG00000288247,,,,,,
ENSG00000292327,PPP2R3B,,,,,
ENSG00000292328,RPL14P5,,,,,
ENSG00000292329,,,,,,
ENSG00000292332,IL3RA,,,,,
ENSG00000292333,P2RY8,,,,,
ENSG00000292334,SLC25A6,,,,,
ENSG00000292337,DHRSX-IT1,,,,,
ENSG00000292338,DHRSX,,,,,
ENSG00000292339,ASMTL,,,,,
ENSG00000292342,LINC00685,,,,,
ENSG00000292344,PLCXD1,,,,,
ENSG00000292345,ZBED1,,,,,
ENSG00000292346,MIR6089,,,,,
ENSG00000292347,LINC00102,,,,,
ENSG00000292348,CD99,,,,,
ENSG00000292350,Metazoa_SRP,,,,,
ENSG00000292352,FABP5P13,,,,,
ENSG00000292353,KRT18P53,,,,,
ENSG00000292354,SHOX,,,,,
ENSG00000292355,MIR3690,,,,,
ENSG00000292356,RNA5SP498,,,,,
ENSG00000292361,CD99P1,,,,,
ENSG00000292363,CRLF2,,,,,
ENSG00000292343,AKAP17A,,,,,
ENSG00000292336,ASMT,,,,,
ENSG00000292330,,,,,,
ENSG00000292357,CSF2RA,,,,,
ENSG00000310541,,,,,,
ENSG00000310543,,,,,,
ENSG00000310544,,,,,,
ENSG00000310545,,,,,,
ENSG00000310546,,,,,,
ENSG00000292331,ASMTL-AS1,,,,,
ENSG00000310547,,,,,,
ENSG00000310548,,,,,,
ENSG00000292349,,,,,,
ENSG00000292341,LINC00106,,,,,
ENSG00000310549,,,,,,
ENSG00000310551,,,,,,
ENSG00000310552,,,,,,
ENSG00000292335,,,,,,
ENSG00000310553,,,,,,
ENSG00000310554,,,,,,
ENSG00000310556,,,,,,
ENSG00000310540,LINC02968,,,,,
ENSG00000288372,,,,,,
ENSG00000288288,,,,,,
ENSG00000288129,,,,,,
ENSG00000288472,LINC03015,,,,,
ENSG00000292362,CD99P1,,,,,
ENSG00000288417,LINC03014,,,,,
ENSG00000288502,,,,,,
ENSG00000288311,,,,,,
ENSG00000288449,,,,,,
ENSG00000288499,FAM20C,,,,,
ENSG00000288159,,,,,,
ENSG00000288431,,,,,,
ENSG00000292360,LINC03112,,,,,
ENSG00000310557,,,,,,
ENSG00000292358,GTPBP6,,,,,
ENSG00000292364,AMD1P2,,,,,
ENSG00000292365,DPH3P2,,,,,
ENSG00000292366,VAMP7,,,,,
ENSG00000292367,ELOCP24,,,,,
ENSG00000292368,TRPC6P1,,,,,
ENSG00000292369,,,,,,
ENSG00000292371,DDX11L16,,,,,
ENSG00000292372,WASH6P,,,,,
ENSG00000310550,,,,,,
ENSG00000310555,,,,,,
ENSG00000292370,WASIR1,,,,,
ENSG00000292373,IL9R,,,,,
ENSG00000310542,,,,,,
ENSG00000215601,TSPY24P,,,,,
ENSG00000215603,ZNF92P1Y,,,,,
ENSG00000225878,SERBP1P2,,,,,
ENSG00000236435,TSPY12P,,,,,
ENSG00000258991,DUX4L19,,,,,
ENSG00000224518,,,,,,
ENSG00000231988,OFD1P3Y,,,,,
ENSG00000238073,RBMY2HP,,,,,
ENSG00000275866,,,,,,
ENSG00000271595,ELOCP35,,,,,
ENSG00000183704,SLC9B1P1,,,,,
ENSG00000232927,USP12PY,,,,,
ENSG00000277438,KDM5DP1,,,,,
ENSG00000259154,DUX4L17,,,,,
ENSG00000273863,,,,,,
ENSG00000271375,,,,,,
ENSG00000224634,ZNF736P6Y,,,,,
ENSG00000285470,TUSC2P1,,,,,
ENSG00000234620,PUDPP1,,,,,
ENSG00000236690,,,,,,
ENSG00000273693,CDRT15P10,,,,,
ENSG00000114374,USP9Y,ENSDARG00000013708,usp9,ortholog_one2many,1,25
ENSG00000291371,Y_RNA,,,,,
ENSG00000291372,RNU6-409P,,,,,
ENSG00000291368,ACR,,,,,
ENSG00000291369,,,,,,
ENSG00000291370,SNRPA1P2,,,,,
ENSG00000292254,SHANK3,,,,,
ENSG00000223422,,,,,,
ENSG00000225653,RNF19BPY,,,,,
ENSG00000228578,TUBB1P2,,,,,
ENSG00000275280,,,,,,
ENSG00000270242,ACTR3BP1,,,,,
ENSG00000236477,RPS24P1,,,,,
ENSG00000237997,RCC2P2,,,,,
ENSG00000244246,ZNF736P8Y,,,,,
ENSG00000198692,EIF1AY,ENSDARG00000029003,eif1axa,ortholog_many2many,0,0
ENSG00000198692,EIF1AY,ENSDARG00000057912,eif1axb,ortholog_many2many,1,0
ENSG00000183753,BPY2,,,,,
ENSG00000225433,MTND1P12,,,,,
ENSG00000235857,CTBP2P1,,,,,
ENSG00000223955,MTND6P1,,,,,
ENSG00000270455,PABPC1P5,,,,,
ENSG00000234385,RCC2P1,,,,,
ENSG00000226863,SHROOM2P1,,,,,
ENSG00000271365,,,,,,
ENSG00000259029,DUX4L18,,,,,
ENSG00000215537,ZNF736P11Y,,,,,
ENSG00000229745,BPY2DP,,,,,
ENSG00000275828,CHEK2P1,,,,,
ENSG00000232522,ZNF886P,,,,,
ENSG00000277519,OFD1P16Y,,,,,
ENSG00000273731,,,,,,
ENSG00000215583,ASS1P6,,,,,
ENSG00000274162,SNX18P1Y,,,,,
ENSG00000233774,MED14P1,,,,,
ENSG00000228764,ZNF885P,,,,,
ENSG00000232226,ARSFP1,,,,,
ENSG00000224567,,,,,,
ENSG00000241200,ZNF736P7Y,,,,,
ENSG00000228518,SURF6P1,,,,,
ENSG00000274231,,,,,,
ENSG00000274502,ANKRD20A6P,,,,,
ENSG00000278854,,,,,,
ENSG00000225809,RBMY2KP,,,,,
ENSG00000232419,TTTY19,,,,,
ENSG00000226906,TTTY4,,,,,
ENSG00000230025,,,,,,
ENSG00000235649,MXRA5Y,,,,,
ENSG00000258567,DUX4L16,,,,,
ENSG00000234179,MTCYBP1,,,,,
ENSG00000271309,,,,,,
ENSG00000228240,TTTY17A,,,,,
ENSG00000234652,AGPAT5P1,,,,,
ENSG00000218410,,,,,,
ENSG00000224989,FAM41AY1,,,,,
ENSG00000273858,,,,,,
ENSG00000227830,TRIM60P3Y,,,,,
ENSG00000226529,MTND1P1,,,,,
ENSG00000274837,,,,,,
ENSG00000216777,PRRC2CP1,,,,,
ENSG00000216824,ZNF736P10Y,,,,,
ENSG00000276829,,,,,,
ENSG00000283076,,,,,,
ENSG00000234850,MTND2P3,,,,,
ENSG00000270570,,,,,,
ENSG00000223517,,,,,,
ENSG00000228207,,,,,,
ENSG00000225117,ARSDP1,,,,,
ENSG00000228411,CDY4P,,,,,
ENSG00000229518,UBE2V1P3,,,,,
ENSG00000232730,FAM8A4P,,,,,
ENSG00000244000,,,,,,
ENSG00000232764,TRIM60P8Y,,,,,
ENSG00000236131,MED13P1,,,,,
ENSG00000227949,CYCSP46,,,,,
ENSG00000252900,RNU6-303P,,,,,
ENSG00000252689,,,,,,
ENSG00000243980,RN7SL702P,,,,,
ENSG00000252315,RNA5SP520,,,,,
ENSG00000252012,RNA5SP521,,,,,
ENSG00000273966,,,,,,
ENSG00000252173,RNU6-109P,,,,,
ENSG00000252323,RNU6-184P,,,,,
ENSG00000169953,HSFY2,,,,,
ENSG00000236429,GPM6BP2,,,,,
ENSG00000249501,USP9YP2,,,,,
ENSG00000228193,ELOCP14,,,,,
ENSG00000230904,XKRYP2,,,,,
ENSG00000238135,USP9YP10,,,,,
ENSG00000251970,RNU1-41P,,,,,
ENSG00000238088,OFD1P7Y,,,,,
ENSG00000217179,MTCYBP2,,,,,
ENSG00000217896,ZNF839P1,,,,,
ENSG00000185275,CD24P4,,,,,
ENSG00000252766,RNU6-255P,,,,,
ENSG00000288269,GCGR,,,,,
ENSG00000274282,,,,,,
ENSG00000234529,GAPDHP19,,,,,
ENSG00000238191,CLUHP1,,,,,
ENSG00000226353,TAF9P1,,,,,
ENSG00000226449,CDY5P,,,,,
ENSG00000225896,ELOCP36,,,,,
ENSG00000229129,ACTG1P2,,,,,
ENSG00000223555,USP9YP23,,,,,
ENSG00000235521,USP9YP27,,,,,
ENSG00000252513,RNU1-128P,,,,,
ENSG00000224964,TRAPPC2P3,,,,,
ENSG00000225740,ELOCP6,,,,,
ENSG00000229138,CDY6P,,,,,
ENSG00000224485,USP9YP7,,,,,
ENSG00000226116,USP9YP6,,,,,
ENSG00000237558,CDY7P,,,,,
ENSG00000233378,USP9YP34,,,,,
ENSG00000237616,USP9YP32,,,,,
ENSG00000224033,CDY8P,,,,,
ENSG00000230412,ELOCP12,,,,,
ENSG00000225895,TRAPPC2P8,,,,,
ENSG00000233120,USP9YP15,,,,,
ENSG00000252166,RNU1-95P,,,,,
ENSG00000232744,USP9YP16,,,,,
ENSG00000229465,ACTG1P11,,,,,
ENSG00000236599,ELOCP26,,,,,
ENSG00000232899,CDY9P,,,,,
ENSG00000229302,TAF9P2,,,,,
ENSG00000228945,CLUHP2,,,,,
ENSG00000278391,,,,,,
ENSG00000251953,RNA5SP522,,,,,
ENSG00000252667,RNA5SP523,,,,,
ENSG00000249726,TUBB1P1,,,,,
ENSG00000225716,ELOCP13,,,,,
ENSG00000229406,OFD1P4Y,,,,,
ENSG00000252209,RNU1-48P,,,,,
ENSG00000249634,USP9YP5,,,,,
ENSG00000238067,XKRYP1,,,,,
ENSG00000230377,ELOCP7,,,,,
ENSG00000250951,USP9YP1,,,,,
ENSG00000230458,GPM6BP1,,,,,
ENSG00000235479,RAB9AP4,,,,,
ENSG00000249606,TRAPPC2P7,,,,,
ENSG00000267793,,,,,,
ENSG00000260197,,,,,,
ENSG00000012817,KDM5D,ENSDARG00000061504,kdm4c,ortholog_many2many,0,0
ENSG00000288213,MCRIP1,,,,,
ENSG00000288186,PPP1R27,,,,,
ENSG00000172468,HSFY1,,,,,
ENSG00000176679,TGIF2LY,ENSDARG00000019717,pbx2,ortholog_many2many,0,0
ENSG00000176679,TGIF2LY,ENSDARG00000052150,pbx4,ortholog_many2many,0,0
ENSG00000182415,CDY2A,ENSDARG00000038985,cdyl,ortholog_one2many,0,0
ENSG00000233126,ZNF736P3Y,,,,,
ENSG00000227251,TRIM60P9Y,,,,,
ENSG00000252633,RN7SKP282,,,,,
ENSG00000251996,Y_RNA,,,,,
ENSG00000252155,RNU6-941P,,,,,
ENSG00000252472,RNU6-521P,,,,,
ENSG00000224953,SRIP3,,,,,
ENSG00000274365,,,,,,
ENSG00000233634,GOT2P5,,,,,
ENSG00000237701,ATP5PFP1,,,,,
ENSG00000273906,,,,,,
ENSG00000232976,TRIM60P10Y,,,,,
ENSG00000226270,ZNF736P2Y,,,,,
ENSG00000227837,TRIM60P11Y,,,,,
ENSG00000278602,,,,,,
ENSG00000223978,ZNF736P1Y,,,,,
ENSG00000278197,,,,,,
ENSG00000230819,ZNF736P5Y,,,,,
ENSG00000185894,BPY2C,,,,,
ENSG00000228296,TTTY4C,,,,,
ENSG00000205916,DAZ4,ENSDARG00000036214,dazl,ortholog_one2many,0,0
ENSG00000129873,CDY2B,ENSDARG00000038985,cdyl,ortholog_one2many,1,0
ENSG00000251841,RNU6-1334P,,,,,
ENSG00000184895,SRY,ENSDARG00000040266,sox19b,ortholog_many2many,0,0
ENSG00000184895,SRY,ENSDARG00000010770,sox19a,ortholog_many2many,0,0
ENSG00000184895,SRY,ENSDARG00000100591,sox32,ortholog_many2many,0,0
ENSG00000282162,LINC01784,,,,,
ENSG00000281934,PRAMEF11,,,,,
ENSG00000232195,TOMM22P2,,,,,
ENSG00000286130,,,,,,
ENSG00000129824,RPS4Y1,ENSDARG00000014690,rps4x,ortholog_one2many,1,0
ENSG00000282116,PRAMEF30P,,,,,
ENSG00000282175,HNRNPCL1,,,,,
ENSG00000282817,PRAMEF2,,,,,
ENSG00000229163,NAP1L1P2,,,,,
ENSG00000278847,,,,,,
ENSG00000067646,ZFY,,,,,
ENSG00000282584,PRAMEF4,,,,,
ENSG00000282663,PRAMEF10,,,,,
ENSG00000279195,PRAMEF7,,,,,
ENSG00000223600,EEF1A1P41,,,,,
ENSG00000215414,PSMA6P1,,,,,
ENSG00000224035,SFPQP1,,,,,
ENSG00000223915,DPPA2P1,,,,,
ENSG00000282338,RNU6-1072P,,,,,
ENSG00000282549,PRAMEF29P,,,,,
ENSG00000067048,DDX3Y,ENSDARG00000020573,ddx3xa,ortholog_many2many,1,25
ENSG00000067048,DDX3Y,ENSDARG00000005774,ddx3xb,ortholog_many2many,0,0
ENSG00000282119,PRAMEF6,,,,,
ENSG00000282791,PRAMEF28P,,,,,
ENSG00000282437,PRAMEF27,,,,,
ENSG00000282559,HNRNPCL3,,,,,
ENSG00000282566,PRAMEF25,,,,,
ENSG00000282258,PRAMEF34P,,,,,
ENSG00000282562,PRAMEF35P,,,,,
ENSG00000282530,HNRNPCL2,,,,,
ENSG00000282468,PRAMEF36P,,,,,
ENSG00000290624,,,,,,
ENSG00000282341,,,,,,
ENSG00000281987,PRAMEF26,,,,,
ENSG00000282095,HNRNPCL4,,,,,
ENSG00000282298,PRAMEF9,,,,,
ENSG00000234059,CASKP1,,,,,
ENSG00000183878,UTY,ENSDARG00000061759,kdm6a,ortholog_one2many,0,0
ENSG00000282741,PRAMEF13,,,,,
ENSG00000282212,PRAMEF18,,,,,
ENSG00000282289,PRAMEF31P,,,,,
ENSG00000282424,PRAMEF5,,,,,
ENSG00000282216,PRAMEF32P,,,,,
ENSG00000282288,RNU6-771P,,,,,
ENSG00000282583,PRAMEF8,,,,,
ENSG00000282125,PRAMEF33,,,,,
ENSG00000293551,PRAMEF22,,,,,
ENSG00000154620,TMSB4Y,,,,,
ENSG00000129864,VCY,,,,,
ENSG00000187191,DAZ3,ENSDARG00000036214,dazl,ortholog_one2many,0,0
ENSG00000291381,ARHGEF19,,,,,
ENSG00000291405,,,,,,
ENSG00000291404,ANO7L1,,,,,
ENSG00000291376,,,,,,
ENSG00000291382,CPLANE2,,,,,
ENSG00000291377,MT1XP1,,,,,
ENSG00000291375,FBXO42,,,,,
ENSG00000188120,DAZ1,ENSDARG00000036214,dazl,ortholog_one2many,0,0
ENSG00000291379,SZRD1,,,,,
ENSG00000291374,RPL22P3,,,,,
ENSG00000291401,SPATA21,,,,,
ENSG00000291380,NECAP2,,,,,
ENSG00000251925,SNORA70,,,,,
ENSG00000286744,,,,,,
ENSG00000236647,,,,,,
ENSG00000291388,LINC01772,,,,,
ENSG00000099721,AMELY,,,,,
ENSG00000291402,CROCCP3,,,,,
ENSG00000291389,RNU1-1,,,,,
ENSG00000291390,,,,,,
ENSG00000291391,,,,,,
ENSG00000291392,LINC01783,,,,,
ENSG00000291393,RNU1-6P,,,,,
ENSG00000291394,PDE4DIPP8,,,,,
ENSG00000092377,TBL1Y,ENSDARG00000060438,tbl1x,ortholog_one2many,0,0
ENSG00000291386,,,,,,
ENSG00000291385,RNU1-2,,,,,
ENSG00000291408,,,,,,
ENSG00000291384,,,,,,
ENSG00000291400,LINC03126,,,,,
ENSG00000291383,RNU1-5P,,,,,
ENSG00000291395,,,,,,
ENSG00000291397,,,,,,
ENSG00000291398,EIF1AXP1,,,,,
ENSG00000291396,RNU1-3,,,,,
ENSG00000291399,RNU1-4,,,,,
ENSG00000291387,PADI2,,,,,
ENSG00000292230,,,,,,
ENSG00000291403,CROCCP4,,,,,
ENSG00000292231,,,,,,
ENSG00000291407,,,,,,
ENSG00000292235,,,,,,
ENSG00000292236,,,,,,
ENSG00000292238,,,,,,
ENSG00000292239,,,,,,
ENSG00000292240,,,,,,
ENSG00000292241,,,,,,
ENSG00000292242,,,,,,
ENSG00000292229,,,,,,
ENSG00000292226,,,,,,
ENSG00000205944,DAZ2,ENSDARG00000036214,dazl,ortholog_one2many,0,0
ENSG00000292228,,,,,,
ENSG00000292227,,,,,,
ENSG00000292225,NBPF1,,,,,
ENSG00000226555,AGKP1,,,,,
ENSG00000228787,NLGN4Y-AS1,,,,,
ENSG00000165246,NLGN4Y,ENSDARG00000077761,nlgn4xb,ortholog_many2many,1,0
ENSG00000165246,NLGN4Y,ENSDARG00000079455,nlgn4xa,ortholog_many2many,1,0
ENSG00000229343,CDY22P,,,,,
ENSG00000232695,ELOCP17,,,,,
ENSG00000235511,OFD1P18Y,,,,,
ENSG00000232914,TRAPPC2P4,,,,,
ENSG00000223655,RAB9AP3,,,,,
ENSG00000230854,USP9YP20,,,,,
