Gene stable ID,Gene name,Human gene name,Human gene stable ID,Human homology type,"Human orthology confidence [0 low, 1 high]",Human Gene-order conservation score
ENSDARG00000025206,SYT2,SYT2,ENSG00000143858,ortholog_one2many,1,0
ENSDARG00000042189,tspan33b,,,,,
ENSDARG00000076270,adamts13,ADAMTS13,ENSG00000160323,ortholog_one2one,0,0
ENSDARG00000045415,gnal,GNAL,ENSG00000141404,ortholog_one2many,0,25
ENSDARG00000100099,si:dkey-238o14.1,,,,,
ENSDARG00000087916,TMEM240,TMEM240,ENSG00000205090,ortholog_one2many,1,0
ENSDARG00000023058,foxo3a,FOXO6,ENSG00000204060,ortholog_one2many,0,0
ENSDARG00000100738,osmr,LIFR,ENSG00000113594,ortholog_one2one,0,25
ENSDARG00000097888,si:ch211-197e18.1,,,,,
ENSDARG00000067711,parvg,PARVG,ENSG00000138964,ortholog_one2one,0,25
ENSDARG00000091834,si:ch211-198m17.1,,,,,
ENSDARG00000068468,DNAH3,DNAH3,ENSG00000158486,ortholog_one2one,1,50
ENSDARG00000101806,or30bu1,,,,,
ENSDARG00000105445,si:ch211-190h11.2,,,,,
ENSDARG00000078805,ap5b1,AP5B1,ENSG00000254470,ortholog_one2one,0,0
ENSDARG00000058893,nhej1,NHEJ1,ENSG00000187736,ortholog_one2one,0,0
ENSDARG00000088881,si:dkeyp-69b9.3,,,,,
ENSDARG00000095893,si:dkey-85n7.7,,,,,
ENSDARG00000062376,nlgn3b,CES4A,ENSG00000172824,ortholog_many2many,0,0
ENSDARG00000062376,nlgn3b,CES2,ENSG00000172831,ortholog_many2many,0,0
ENSDARG00000062376,nlgn3b,CES5A,ENSG00000159398,ortholog_many2many,0,0
ENSDARG00000062376,nlgn3b,CES1,ENSG00000198848,ortholog_many2many,0,0
ENSDARG00000039490,pitpnaa,PITPNA,ENSG00000174238,ortholog_one2many,0,25
ENSDARG00000020986,CTU1,CTU1,ENSG00000142544,ortholog_one2one,1,0
ENSDARG00000098626,nitr12,,,,,
ENSDARG00000089187,wfdc2,,,,,
ENSDARG00000101165,si:dkey-157e10.8,,,,,
ENSDARG00000003175,STX5,STX5,ENSG00000162236,ortholog_one2many,1,0
ENSDARG00000074846,si:dkeyp-68b7.12,,,,,
ENSDARG00000026759,ldlrb,,,,,
ENSDARG00000098213,si:ch211-59m15.1,,,,,
ENSDARG00000033099,KIF7,KIF7,ENSG00000166813,ortholog_one2one,1,0
ENSDARG00000096970,si:ch211-137i24.14,,,,,
ENSDARG00000024184,NARF,NARF,ENSG00000141562,ortholog_one2one,1,0
ENSDARG00000076901,si:ch211-220m6.5,,,,,
ENSDARG00000009341,NRAP,NRAP,ENSG00000197893,ortholog_one2one,1,50
ENSDARG00000100546,or41a1,,,,,
ENSDARG00000090804,GPR155,GPR155,ENSG00000163328,ortholog_one2many,1,100
ENSDARG00000016977,SNX27,SNX27,ENSG00000143376,ortholog_one2many,1,0
ENSDARG00000058538,alcamb,ALCAM,ENSG00000170017,ortholog_one2many,0,0
ENSDARG00000102175,hamp,HAMP,ENSG00000105697,ortholog_one2one,0,0
ENSDARG00000018153,NT5C1B,NT5C1B,ENSG00000185013,ortholog_one2many,1,75
ENSDARG00000054533,ARAF,ARAF,ENSG00000078061,ortholog_one2one,1,0
ENSDARG00000092243,si:ch211-163b2.2,,,,,
ENSDARG00000038154,ISCA2,ISCA2,ENSG00000165898,ortholog_one2one,1,0
ENSDARG00000036420,si:dkey-33c9.6,,,,,
ENSDARG00000098726,RPTOR,RPTOR,ENSG00000141564,ortholog_one2one,1,0
ENSDARG00000098677,si:dkeyp-120g4.1,,,,,
ENSDARG00000096511,si:dkey-71h2.4,,,,,
ENSDARG00000037652,INTS15,INTS15,ENSG00000146576,ortholog_one2one,1,0
ENSDARG00000027963,CAMKV,CAMKV,ENSG00000164076,ortholog_one2many,1,25
ENSDARG00000097726,si:ch211-149e23.4,,,,,
ENSDARG00000105456,,,,,,
ENSDARG00000095680,si:ch211-122l14.8,,,,,
ENSDARG00000011821,PLOD2,PLOD2,ENSG00000152952,ortholog_one2one,1,100
ENSDARG00000095576,si:ch211-122l14.7,,,,,
ENSDARG00000035875,tmem54b,TMEM54,ENSG00000121900,ortholog_one2many,0,25
ENSDARG00000057074,rpgrb,RPGR,ENSG00000156313,ortholog_one2many,0,0
ENSDARG00000075181,crfb16,IL10RA,ENSG00000110324,ortholog_many2many,0,0
ENSDARG00000075181,crfb16,IFNAR2,ENSG00000159110,ortholog_many2many,0,0
ENSDARG00000075181,crfb16,IL22RA1,ENSG00000142677,ortholog_many2many,0,0
ENSDARG00000075181,crfb16,IFNGR1,ENSG00000027697,ortholog_many2many,0,0
ENSDARG00000077950,TOR1B,TOR1B,ENSG00000136816,ortholog_one2many,1,0
ENSDARG00000077950,TOR1B,TOR1A,ENSG00000136827,ortholog_one2many,1,0
ENSDARG00000079355,FLRT2,FLRT2,ENSG00000185070,ortholog_one2many,1,0
ENSDARG00000044251,RASGEF1B,RASGEF1B,ENSG00000138670,ortholog_one2many,1,0
ENSDARG00000096398,si:ch211-276a17.5,,,,,
ENSDARG00000003144,pxmp2,PXMP2,ENSG00000176894,ortholog_one2one,0,0
ENSDARG00000016968,TMEM214,TMEM214,ENSG00000119777,ortholog_one2one,1,100
ENSDARG00000090063,FA2H,FA2H,ENSG00000103089,ortholog_one2one,1,50
ENSDARG00000033789,NDUFB7,NDUFB7,ENSG00000099795,ortholog_one2one,1,50
ENSDARG00000017522,CTDP1,CTDP1,ENSG00000060069,ortholog_one2one,1,50
ENSDARG00000077860,ANKHD1,ANKHD1,ENSG00000131503,ortholog_one2one,1,25
ENSDARG00000097025,si:ch211-123o7.6,,,,,
ENSDARG00000052097,trim35-31,,,,,
ENSDARG00000098675,traj55,,,,,
ENSDARG00000045015,CYP27B1,CYP27B1,ENSG00000111012,ortholog_one2one,1,25
ENSDARG00000101490,si:ch73-281i18.6,,,,,
ENSDARG00000008100,SLC7A10,SLC7A10,ENSG00000130876,ortholog_one2many,1,50
ENSDARG00000041340,MRPL51,MRPL51,ENSG00000111639,ortholog_one2one,1,0
ENSDARG00000087757,pimr190,,,,,
ENSDARG00000110990,si:ch211-198e20.6,,,,,
ENSDARG00000092491,si:dkey-149i17.8,,,,,
ENSDARG00000045873,FRS2,FRS2,ENSG00000166225,ortholog_one2many,1,25
ENSDARG00000088072,usp43b,USP43,ENSG00000154914,ortholog_one2many,0,0
ENSDARG00000096208,si:dkeyp-100h4.8,,,,,
ENSDARG00000070874,asmt2,,,,,
ENSDARG00000105588,,,,,,
ENSDARG00000075339,ipp,,,,,
ENSDARG00000045641,USP3,USP3,ENSG00000140455,ortholog_one2one,1,75
ENSDARG00000103025,HMGCS1,HMGCS1,ENSG00000112972,ortholog_one2one,1,0
ENSDARG00000061439,ugt5c3,UGT1A5,ENSG00000288705,ortholog_many2many,0,0
ENSDARG00000061439,ugt5c3,UGT1A4,ENSG00000244474,ortholog_many2many,0,0
ENSDARG00000061439,ugt5c3,UGT1A3,ENSG00000288702,ortholog_many2many,0,0
ENSDARG00000061439,ugt5c3,UGT1A6,ENSG00000167165,ortholog_many2many,0,0
ENSDARG00000061439,ugt5c3,UGT2A3,ENSG00000135220,ortholog_many2many,0,0
ENSDARG00000061439,ugt5c3,UGT2B7,ENSG00000171234,ortholog_many2many,0,0
ENSDARG00000061439,ugt5c3,UGT2B4,ENSG00000156096,ortholog_many2many,0,0
ENSDARG00000061439,ugt5c3,UGT2A2,ENSG00000271271,ortholog_many2many,0,0
ENSDARG00000061439,ugt5c3,UGT2A1,ENSG00000173610,ortholog_many2many,0,0
ENSDARG00000061439,ugt5c3,UGT3A1,ENSG00000145626,ortholog_many2many,0,0
ENSDARG00000061439,ugt5c3,UGT2B11,ENSG00000213759,ortholog_many2many,0,0
ENSDARG00000061439,ugt5c3,UGT2B28,ENSG00000135226,ortholog_many2many,0,0
ENSDARG00000061439,ugt5c3,UGT2B10,ENSG00000109181,ortholog_many2many,0,0
ENSDARG00000061439,ugt5c3,UGT2B15,ENSG00000196620,ortholog_many2many,0,0
ENSDARG00000061439,ugt5c3,UGT2B17,ENSG00000197888,ortholog_many2many,0,0
ENSDARG00000061439,ugt5c3,UGT1A8,ENSG00000242366,ortholog_many2many,0,0
ENSDARG00000061439,ugt5c3,UGT1A10,ENSG00000242515,ortholog_many2many,0,0
ENSDARG00000061439,ugt5c3,UGT1A7,ENSG00000244122,ortholog_many2many,0,0
ENSDARG00000061439,ugt5c3,UGT1A9,ENSG00000241119,ortholog_many2many,0,0
ENSDARG00000102553,traj6,,,,,
ENSDARG00000104269,si:ch211-271d10.2,,,,,
ENSDARG00000052520,SGMS2,SGMS2,ENSG00000164023,ortholog_one2many,1,50
ENSDARG00000018542,HAPLN4,HAPLN4,ENSG00000187664,ortholog_one2one,1,50
ENSDARG00000074253,OLIG3,OLIG3,ENSG00000177468,ortholog_one2one,1,25
ENSDARG00000078768,abhd15a,,,,,
ENSDARG00000100858,zgc:171695,SEPTIN14,ENSG00000154997,ortholog_many2many,0,0
ENSDARG00000062357,TAFA1,TAFA1,ENSG00000183662,ortholog_one2one,1,25
ENSDARG00000019135,ANKEF1,ANKEF1,ENSG00000132623,ortholog_one2many,1,25
ENSDARG00000068711,crfb4,IL10RB,ENSG00000243646,ortholog_one2one,0,0
ENSDARG00000043002,vmo1a,VMO1,ENSG00000182853,ortholog_one2many,0,0
ENSDARG00000090854,LSM11,LSM11,ENSG00000155858,ortholog_one2one,1,50
ENSDARG00000056683,CDK5,CDK5,ENSG00000164885,ortholog_one2one,1,0
ENSDARG00000098676,si:dkey-107h14.8,,,,,
ENSDARG00000012446,helz2c,HELZ2,ENSG00000130589,ortholog_one2many,0,0
ENSDARG00000078567,lonrf1,LONRF1,ENSG00000154359,ortholog_one2one,0,0
ENSDARG00000021444,prf1.2,PRF1,ENSG00000180644,ortholog_one2many,0,0
ENSDARG00000029263,HOXB3,HOXB3,ENSG00000120093,ortholog_one2one,1,0
ENSDARG00000030472,SLC16A5,SLC16A5,ENSG00000170190,ortholog_one2many,1,25
ENSDARG00000042515,GPR176,GPR176,ENSG00000166073,ortholog_one2one,1,25
ENSDARG00000042018,FHL2,FHL2,ENSG00000115641,ortholog_one2many,1,100
ENSDARG00000036943,GOLPH3L,GOLPH3L,ENSG00000143457,ortholog_one2one,1,0
ENSDARG00000015476,IQCH,IQCH,ENSG00000103599,ortholog_one2one,1,100
ENSDARG00000089954,tdrd6b,TDRD6,ENSG00000180113,ortholog_one2many,0,25
ENSDARG00000002355,SHPK,SHPK,ENSG00000197417,ortholog_one2one,1,0
ENSDARG00000069537,si:dkey-238c7.16,,,,,
ENSDARG00000044457,GFI1,GFI1,ENSG00000162676,ortholog_one2one,1,75
ENSDARG00000087798,pdyn,PDYN,ENSG00000101327,ortholog_one2one,0,25
ENSDARG00000101106,si:ch73-109d9.3,,,,,
ENSDARG00000093521,B3GNT3,B3GNT3,ENSG00000179913,ortholog_one2many,1,0
ENSDARG00000045443,AGTR1,AGTR1,ENSG00000144891,ortholog_one2many,1,75
ENSDARG00000058958,si:ch73-106l15.3,,,,,
ENSDARG00000019293,TFDP1,TFDP1,ENSG00000198176,ortholog_one2many,1,25
ENSDARG00000094455,si:dkey-125h23.1,,,,,
ENSDARG00000097849,si:ch211-72a16.11,,,,,
ENSDARG00000078167,si:dkeyp-100h4.1,,,,,
ENSDARG00000115890,si:dkey-1b17.9,,,,,
ENSDARG00000101085,SS18L2,SS18L2,ENSG00000008324,ortholog_one2one,1,0
ENSDARG00000007250,USE1,USE1,ENSG00000053501,ortholog_one2one,1,0
ENSDARG00000113690,si:ch211-223g7.6,,,,,
ENSDARG00000011449,FES,FES,ENSG00000182511,ortholog_one2one,1,0
ENSDARG00000099200,zgc:123103,CTSV,ENSG00000136943,ortholog_many2many,0,0
ENSDARG00000099200,zgc:123103,CTSL,ENSG00000135047,ortholog_many2many,0,0
ENSDARG00000040250,si:ch211-132g1.1,,,,,
ENSDARG00000044753,IDH3B,IDH3B,ENSG00000101365,ortholog_one2one,1,0
ENSDARG00000006560,IRF4,IRF4,ENSG00000137265,ortholog_one2one,1,25
ENSDARG00000099086,si:ch211-69b22.4,,,,,
ENSDARG00000074302,GPR183,GPR183,ENSG00000169508,ortholog_one2many,1,25
ENSDARG00000061371,cdh18a,CDH18,ENSG00000145526,ortholog_one2many,0,25
ENSDARG00000063574,MTG2,MTG2,ENSG00000101181,ortholog_one2one,1,0
ENSDARG00000086471,PKIG,PKIG,ENSG00000168734,ortholog_one2one,1,100
ENSDARG00000002377,mief2,MIEF2,ENSG00000177427,ortholog_one2one,0,0
ENSDARG00000052129,BOK,BOK,ENSG00000176720,ortholog_one2many,1,100
ENSDARG00000098029,si:ch211-129o18.4,C1orf127,ENSG00000175262,ortholog_one2one,0,75
ENSDARG00000097268,si:ch73-171a6.2,,,,,
ENSDARG00000059773,SRCIN1,SRCIN1,ENSG00000277363,ortholog_one2many,1,0
ENSDARG00000095453,si:rp71-17i16.6,,,,,
ENSDARG00000097673,si:ch73-267i21.1,,,,,
ENSDARG00000056740,tmeff1b,,,,,
ENSDARG00000033446,tap2t,,,,,
ENSDARG00000099899,si:dkeyp-51g9.4,,,,,
ENSDARG00000077253,alkbh6,ALKBH6,ENSG00000239382,ortholog_one2one,0,0
ENSDARG00000096836,si:ch211-247l22.4,,,,,
ENSDARG00000105063,si:rp71-1l17.2,,,,,
ENSDARG00000100694,TNNT2,TNNT2,ENSG00000118194,ortholog_one2many,1,50
ENSDARG00000093799,SETBP1,SETBP1,ENSG00000152217,ortholog_one2one,1,25
ENSDARG00000092995,si:dkeyp-73g8.7,,,,,
ENSDARG00000052851,GOLPH3,GOLPH3,ENSG00000113384,ortholog_one2many,1,50
ENSDARG00000009844,DUSP23,DUSP23,ENSG00000158716,ortholog_one2many,1,0
ENSDARG00000018871,henmt1,HENMT1,ENSG00000162639,ortholog_one2one,0,25
ENSDARG00000102608,zgc:109986,,,,,
ENSDARG00000003818,PRKAG1,PRKAG1,ENSG00000181929,ortholog_one2one,1,0
ENSDARG00000019156,haus5,,,,,
ENSDARG00000038615,PIP4P1,PIP4P1,ENSG00000165782,ortholog_one2many,1,0
ENSDARG00000092774,tars3,,,,,
ENSDARG00000092082,si:ch1073-44m10.1,,,,,
ENSDARG00000087457,ecscr,,,,,
ENSDARG00000034734,MED6,MED6,ENSG00000133997,ortholog_one2one,1,50
ENSDARG00000079283,si:ch211-247j9.1,,,,,
ENSDARG00000021913,ak9,AK9,ENSG00000155085,ortholog_one2one,0,0
ENSDARG00000105120,GAB2,GAB2,ENSG00000033327,ortholog_one2one,1,50
ENSDARG00000098157,si:dkeyp-30d6.4,,,,,
ENSDARG00000102929,C7H19orf12,C19orf12,ENSG00000131943,ortholog_one2many,1,100
ENSDARG00000073688,NAV2,NAV2,ENSG00000166833,ortholog_one2one,1,100
ENSDARG00000103180,si:dkey-207c17.1,,,,,
ENSDARG00000090814,si:dkey-18a10.3,,,,,
ENSDARG00000027141,ube2l3b,UBE2L3,ENSG00000185651,ortholog_many2many,1,25
ENSDARG00000027141,ube2l3b,UBE2L5,ENSG00000236444,ortholog_many2many,0,0
ENSDARG00000102434,il12rb1,,,,,
ENSDARG00000099967,si:ch73-160p18.5,,,,,
ENSDARG00000095872,si:ch211-209l18.5,,,,,
ENSDARG00000052142,ACVR1B,ACVR1B,ENSG00000135503,ortholog_one2many,1,0
ENSDARG00000093111,si:ch211-209l18.2,,,,,
ENSDARG00000069758,rbm44,,,,,
ENSDARG00000039218,GPR101,GPR101,ENSG00000165370,ortholog_one2one,1,0
ENSDARG00000010717,CHCHD10,CHCHD10,ENSG00000250479,ortholog_one2one,1,25
ENSDARG00000020449,YIPF3,YIPF3,ENSG00000137207,ortholog_one2one,1,50
ENSDARG00000038792,klf17,KLF14,ENSG00000266265,ortholog_many2many,0,0
ENSDARG00000038792,klf17,KLF17,ENSG00000171872,ortholog_many2many,0,25
ENSDARG00000038792,klf17,KLF18,ENSG00000283039,ortholog_many2many,0,75
ENSDARG00000095204,si:ch211-197g22.1,,,,,
ENSDARG00000017163,sinup,,,,,
ENSDARG00000044015,GFRA2,GFRA2,ENSG00000168546,ortholog_one2many,1,75
ENSDARG00000101456,acp5b,,,,,
ENSDARG00000076801,arap3,ARAP3,ENSG00000120318,ortholog_one2one,0,0
ENSDARG00000003206,chchd6a,CHCHD6,ENSG00000159685,ortholog_one2many,0,25
ENSDARG00000105543,si:dkey-78a14.6,,,,,
ENSDARG00000078686,ARL8A,ARL8A,ENSG00000143862,ortholog_one2one,1,50
ENSDARG00000017835,brf1a,,,,,
ENSDARG00000044318,itgb7,ITGB7,ENSG00000139626,ortholog_one2one,0,0
ENSDARG00000076025,DGKZ,DGKZ,ENSG00000149091,ortholog_one2many,1,50
ENSDARG00000009253,RTRAF,RTRAF,ENSG00000087302,ortholog_one2one,1,50
ENSDARG00000062549,ACMSD,ACMSD,ENSG00000153086,ortholog_one2one,1,75
ENSDARG00000037262,cdkn2a/b,,,,,
ENSDARG00000075855,adgre10,,,,,
ENSDARG00000037555,atoh8,ATOH8,ENSG00000168874,ortholog_one2one,0,25
ENSDARG00000038976,PDCD7,PDCD7,ENSG00000090470,ortholog_one2one,1,50
ENSDARG00000039349,QRFPR,QRFPR,ENSG00000186867,ortholog_one2many,1,0
ENSDARG00000036588,mhc1zba,,,,,
ENSDARG00000098257,PCDH15,PCDH15,ENSG00000150275,ortholog_one2many,1,25
ENSDARG00000059351,hnrnpa3,,,,,
ENSDARG00000105553,si:ch211-105d1.4,,,,,
ENSDARG00000078717,ITGA8,ITGA8,ENSG00000077943,ortholog_one2one,1,75
ENSDARG00000024219,cdk5rap2,CDK5RAP2,ENSG00000136861,ortholog_one2one,0,0
ENSDARG00000102612,SLC15A4,SLC15A4,ENSG00000139370,ortholog_one2one,1,50
ENSDARG00000075818,dok2,DOK2,ENSG00000147443,ortholog_one2many,0,0
ENSDARG00000063006,CACNG7,CACNG7,ENSG00000105605,ortholog_one2many,1,25
ENSDARG00000097115,si:dkey-27l15.1,,,,,
ENSDARG00000055560,P2RY8,P2RY8,ENSG00000182162,ortholog_one2one,1,50
ENSDARG00000099099,,,,,,
ENSDARG00000024771,SLC24A5,SLC24A5,ENSG00000188467,ortholog_one2one,1,50
ENSDARG00000052846,FST,FST,ENSG00000134363,ortholog_one2many,1,25
ENSDARG00000092855,SRBD1,SRBD1,ENSG00000068784,ortholog_one2many,1,50
ENSDARG00000014024,ms4a17a.4,MS4A5,ENSG00000166930,ortholog_many2many,0,0
ENSDARG00000014024,ms4a17a.4,MS4A15,ENSG00000166961,ortholog_many2many,0,0
ENSDARG00000014024,ms4a17a.4,MS4A2,ENSG00000149534,ortholog_many2many,0,0
ENSDARG00000014024,ms4a17a.4,MS4A6A,ENSG00000110077,ortholog_many2many,0,0
ENSDARG00000014024,ms4a17a.4,MS4A6E,ENSG00000166926,ortholog_many2many,0,0
ENSDARG00000014024,ms4a17a.4,MS4A1,ENSG00000156738,ortholog_many2many,0,0
ENSDARG00000014024,ms4a17a.4,MS4A13,ENSG00000204979,ortholog_many2many,0,0
ENSDARG00000014024,ms4a17a.4,MS4A14,ENSG00000166928,ortholog_many2many,0,0
ENSDARG00000014024,ms4a17a.4,MS4A10,ENSG00000172689,ortholog_many2many,0,0
ENSDARG00000014024,ms4a17a.4,MS4A18,ENSG00000214782,ortholog_many2many,0,0
ENSDARG00000014024,ms4a17a.4,MS4A7,ENSG00000166927,ortholog_many2many,0,0
ENSDARG00000100531,ABHD14B,ABHD14B,ENSG00000114779,ortholog_one2one,1,0
ENSDARG00000101319,si:ch73-299h12.6,,,,,
ENSDARG00000055445,slc22a15,SLC22A11,ENSG00000168065,ortholog_many2many,0,0
ENSDARG00000055445,slc22a15,SLC22A9,ENSG00000149742,ortholog_many2many,0,0
ENSDARG00000055445,slc22a15,SLC22A10,ENSG00000184999,ortholog_many2many,0,0
ENSDARG00000055445,slc22a15,SLC22A24,ENSG00000197658,ortholog_many2many,0,0
ENSDARG00000055445,slc22a15,SLC22A25,ENSG00000196600,ortholog_many2many,0,0
ENSDARG00000089750,si:dkey-26g8.5,,,,,
ENSDARG00000078529,ADGRB1,ADGRB1,ENSG00000181790,ortholog_one2many,1,0
ENSDARG00000094550,si:dkey-103k4.3,,,,,
ENSDARG00000091169,TOR4A,TOR4A,ENSG00000198113,ortholog_one2many,1,0
ENSDARG00000052010,CIAO2B,CIAO2B,ENSG00000166595,ortholog_one2one,1,50
ENSDARG00000098075,SH3BGRL3,SH3BGRL3,ENSG00000142669,ortholog_one2one,1,0
ENSDARG00000093164,si:rp71-23d18.8,,,,,
ENSDARG00000093780,si:ch211-212c13.6p,,,,,
ENSDARG00000069595,prr36a,PRR36,ENSG00000183248,ortholog_one2one,0,0
ENSDARG00000093621,si:dkey-27b3.4,,,,,
ENSDARG00000045070,ITGB3,ITGB3,ENSG00000259207,ortholog_one2many,1,0
ENSDARG00000055901,STEAP4,STEAP4,ENSG00000127954,ortholog_one2one,1,25
ENSDARG00000093608,ccl34b.1,,,,,
ENSDARG00000023111,PLG,PLGLB2,ENSG00000125551,ortholog_one2many,0,0
ENSDARG00000023111,PLG,PLG,ENSG00000122194,ortholog_one2many,1,25
ENSDARG00000023111,PLG,PLGLB1,ENSG00000183281,ortholog_one2many,0,0
ENSDARG00000020197,RPL5,RPL5,ENSG00000122406,ortholog_one2many,1,50
ENSDARG00000040930,DEPTOR,DEPTOR,ENSG00000155792,ortholog_one2one,1,50
ENSDARG00000099685,GNB5,GNB5,ENSG00000069966,ortholog_one2many,1,25
ENSDARG00000051729,nfatc3b,,,,,
ENSDARG00000098514,si:ch211-59d8.3,,,,,
ENSDARG00000077778,ADAMTS9,ADAMTS9,ENSG00000163638,ortholog_one2one,1,75
ENSDARG00000057227,MATCAP2,MATCAP2,ENSG00000164542,ortholog_one2one,1,0
ENSDARG00000092014,si:ch211-170i2.2,,,,,
ENSDARG00000043431,b3gntl1,B3GNTL1,ENSG00000175711,ortholog_one2one,0,0
ENSDARG00000029905,PHYHD1,PHYHD1,ENSG00000175287,ortholog_one2one,1,75
ENSDARG00000077082,AGTRAP,AGTRAP,ENSG00000177674,ortholog_one2one,1,0
ENSDARG00000077581,ZZZ3,ZZZ3,ENSG00000036549,ortholog_one2one,1,100
ENSDARG00000018593,PARP16,PARP16,ENSG00000138617,ortholog_one2one,1,0
ENSDARG00000079455,nlgn4xa,NLGN4X,ENSG00000146938,ortholog_many2many,1,75
ENSDARG00000079455,nlgn4xa,NLGN4Y,ENSG00000165246,ortholog_many2many,1,0
ENSDARG00000071648,zgc:113298,,,,,
ENSDARG00000095337,si:dkey-83f18.12p,,,,,
ENSDARG00000097225,si:dkey-79d12.6,,,,,
ENSDARG00000097063,sparcl2,,,,,
ENSDARG00000094616,zgc:113984,,,,,
ENSDARG00000002509,zgc:153911,,,,,
ENSDARG00000027826,PUDP,PUDP,ENSG00000130021,ortholog_one2one,1,50
ENSDARG00000010408,igsf9b,,,,,
ENSDARG00000054031,MXD4,MXD4,ENSG00000123933,ortholog_one2one,1,0
ENSDARG00000062987,TYW1B,TYW1,ENSG00000198874,ortholog_one2many,1,0
ENSDARG00000062987,TYW1B,TYW1B,ENSG00000277149,ortholog_one2many,1,50
ENSDARG00000004296,ambp,AMBP,ENSG00000106927,ortholog_one2one,0,0
ENSDARG00000039880,ARPP19,ARPP19,ENSG00000128989,ortholog_one2many,1,0
ENSDARG00000035860,RPS28,RPS28,ENSG00000233927,ortholog_one2one,1,25
ENSDARG00000041078,CHKA,CHKA,ENSG00000110721,ortholog_one2one,1,25
ENSDARG00000023298,rps27.1,,,,,
ENSDARG00000104332,cdh28,CDH3,ENSG00000062038,ortholog_one2many,0,0
ENSDARG00000075112,TACR3,TACR3,ENSG00000169836,ortholog_one2many,1,50
ENSDARG00000002219,si:dkey-103j14.5,,,,,
ENSDARG00000098889,si:zfos-128g4.2,,,,,
ENSDARG00000079391,mrpl42,,,,,
ENSDARG00000074306,ctslb,,,,,
ENSDARG00000093010,si:ch211-125e6.6,,,,,
ENSDARG00000096588,adgre15,,,,,
ENSDARG00000105603,si:dkey-74n13.1,,,,,
ENSDARG00000093645,si:dkeyp-73g8.6,,,,,
ENSDARG00000040021,EBAG9,EBAG9,ENSG00000147654,ortholog_one2one,1,25
ENSDARG00000036893,f13a1b,F13A1,ENSG00000124491,ortholog_one2many,0,0
ENSDARG00000013266,COLEC11,COLEC11,ENSG00000118004,ortholog_one2one,1,50
ENSDARG00000042937,si:ch211-197n1.2,SPATA21,ENSG00000187144,ortholog_many2many,0,0
ENSDARG00000111173,si:dkeyp-67e1.2,,,,,
ENSDARG00000094473,si:dkey-163f12.6,FHAD1,ENSG00000142621,ortholog_one2one,0,0
ENSDARG00000071377,hsd11b1la,HSD11B1L,ENSG00000167733,ortholog_one2many,0,0
ENSDARG00000025671,GRM6,GRM6,ENSG00000113262,ortholog_one2many,1,0
ENSDARG00000092630,si:dkey-239h2.4,,,,,
ENSDARG00000035018,thy1,THY1,ENSG00000154096,ortholog_one2many,0,0
ENSDARG00000039173,,,,,,
ENSDARG00000037196,arid5b,,,,,
ENSDARG00000032264,MYBL2,MYBL2,ENSG00000101057,ortholog_one2one,1,0
ENSDARG00000025325,CCSAP,CCSAP,ENSG00000154429,ortholog_one2many,1,75
ENSDARG00000097542,si:ch1073-322i20.3,,,,,
ENSDARG00000054184,btr06,,,,,
ENSDARG00000056331,AHCYL1,AHCYL1,ENSG00000168710,ortholog_one2one,1,0
ENSDARG00000102080,MIF4GD,MIF4GD,ENSG00000125457,ortholog_one2many,1,50
ENSDARG00000069888,cldna,,,,,
